athlete	team	medal	year	sport
athlete_117482	United States	NA	2002	sport_2
athlete_117483	Italy	Silver	2003	sport_3
athlete_117484	United States	Gold	2004	sport_4
athlete_117485	Germany	NA	2005	sport_5
athlete_117486	France	Gold	2006	sport_6
athlete_117487	Germany	Gold	2007	sport_7
athlete_117488	France	Silver	2008	sport_8
athlete_117489	United States	NA	2009	sport_9
athlete_117490	France	NA	2010	sport_10
athlete_117491	United States	Gold	2011	sport_11
athlete_117492	Japan	Bronze	2012	sport_12
athlete_117493	Germany	Gold	2013	sport_13
athlete_117494	Italy	NA	2014	sport_14
athlete_117495	Japan	Gold	2015	sport_15
athlete_117496	United States	Silver	2016	sport_16
athlete_117497	Japan	Gold	2017	sport_17
athlete_117498	Germany	Silver	2018	sport_18
athlete_117499	France	Bronze	2019	sport_19
athlete_117500	Japan	Silver	2000	sport_20
athlete_117501	Japan	NA	2001	sport_21
athlete_117502	United States	NA	2002	sport_22
athlete_117503	Soviet Union	Silver	2003	sport_23
athlete_117504	Germany	NA	2004	sport_24
athlete_117505	United States	Bronze	2005	sport_25
athlete_117506	United States	NA	2006	sport_26
athlete_117507	France	Silver	2007	sport_27
athlete_117508	Japan	NA	2008	sport_28
athlete_117509	Soviet Union	NA	2009	sport_29
athlete_117510	United States	Gold	2010	sport_30
athlete_117511	Kenya	NA	2011	sport_31
athlete_117512	Italy	Bronze	2012	sport_32
athlete_117513	Kenya	Gold	2013	sport_33
athlete_117514	Japan	NA	2014	sport_34
athlete_117515	Kenya	Gold	2015	sport_35
athlete_117516	France	Gold	2016	sport_36
athlete_117517	United States	NA	2017	sport_37
athlete_117518	United States	NA	2018	sport_38
athlete_117519	United States	Gold	2019	sport_39
athlete_117520	Germany	Silver	2000	sport_0
athlete_117521	United States	NA	2001	sport_1
athlete_117522	United States	Bronze	2002	sport_2
athlete_117523	Germany	Silver	2003	sport_3
athlete_117524	Germany	Bronze	2004	sport_4
athlete_117525	United States	Gold	2005	sport_5
athlete_117526	Soviet Union	Gold	2006	sport_6
athlete_117527	United States	NA	2007	sport_7
athlete_117528	United States	NA	2008	sport_8
athlete_117529	United States	NA	2009	sport_9
athlete_117530	Italy	Gold	2010	sport_10
athlete_117531	United States	Gold	2011	sport_11
athlete_117532	United States	Gold	2012	sport_12
athlete_117533	United States	NA	2013	sport_13
athlete_117534	France	Silver	2014	sport_14
athlete_117535	Japan	NA	2015	sport_15
athlete_117536	Italy	Bronze	2016	sport_16
athlete_117537	United States	Bronze	2017	sport_17
athlete_117538	Germany	Bronze	2018	sport_18
athlete_117539	United States	NA	2019	sport_19
athlete_117540	United States	Bronze	2000	sport_20
athlete_117541	Italy	NA	2001	sport_21
athlete_117542	United States	NA	2002	sport_22
athlete_117543	France	NA	2003	sport_23
athlete_117544	Italy	Silver	2004	sport_24
athlete_117545	France	NA	2005	sport_25
athlete_117546	United States	NA	2006	sport_26
athlete_117547	Germany	Silver	2007	sport_27
athlete_117548	France	Bronze	2008	sport_28
athlete_117549	United States	Silver	2009	sport_29
athlete_117550	United States	Silver	2010	sport_30
athlete_117551	Kenya	NA	2011	sport_31
athlete_117552	Kenya	NA	2012	sport_32
athlete_117553	Soviet Union	NA	2013	sport_33
athlete_117554	United States	Gold	2014	sport_34
athlete_117555	France	NA	2015	sport_35
athlete_117556	United States	NA	2016	sport_36
athlete_117557	United States	Gold	2017	sport_37
athlete_117558	United States	NA	2018	sport_38
athlete_117559	United States	Gold	2019	sport_39
athlete_117560	United States	NA	2000	sport_0
athlete_117561	Germany	NA	2001	sport_1
athlete_117562	Kenya	NA	2002	sport_2
athlete_117563	United States	Silver	2003	sport_3
athlete_117564	France	NA	2004	sport_4
athlete_117565	United States	Gold	2005	sport_5
athlete_117566	Kenya	NA	2006	sport_6
athlete_117567	Germany	NA	2007	sport_7
athlete_117568	Japan	NA	2008	sport_8
athlete_117569	United States	NA	2009	sport_9
athlete_117570	Germany	NA	2010	sport_10
athlete_117571	United States	NA	2011	sport_11
athlete_117572	France	NA	2012	sport_12
athlete_117573	Germany	NA	2013	sport_13
athlete_117574	France	NA	2014	sport_14
athlete_117575	Kenya	NA	2015	sport_15
athlete_117576	United States	Bronze	2016	sport_16
athlete_117577	Italy	NA	2017	sport_17
athlete_117578	Soviet Union	NA	2018	sport_18
athlete_117579	Kenya	Bronze	2019	sport_19
athlete_117580	United States	NA	2000	sport_20
athlete_117581	Germany	NA	2001	sport_21
athlete_117582	United States	Bronze	2002	sport_22
athlete_117583	Germany	NA	2003	sport_23
athlete_117584	France	NA	2004	sport_24
athlete_117585	Kenya	Silver	2005	sport_25
athlete_117586	Japan	Silver	2006	sport_26
athlete_117587	United States	Gold	2007	sport_27
athlete_117588	United States	Silver	2008	sport_28
athlete_117589	Soviet Union	Bronze	2009	sport_29
athlete_117590	Italy	NA	2010	sport_30
athlete_117591	Soviet Union	Bronze	2011	sport_31
athlete_117592	Kenya	Bronze	2012	sport_32
athlete_117593	Italy	NA	2013	sport_33
athlete_117594	Italy	Gold	2014	sport_34
athlete_117595	Italy	Gold	2015	sport_35
athlete_117596	United States	NA	2016	sport_36
athlete_117597	Japan	Silver	2017	sport_37
athlete_117598	Soviet Union	Gold	2018	sport_38
athlete_117599	Italy	Bronze	2019	sport_39
athlete_117600	United States	NA	2000	sport_0
athlete_117601	Soviet Union	NA	2001	sport_1
athlete_117602	United States	NA	2002	sport_2
athlete_117603	Soviet Union	NA	2003	sport_3
athlete_117604	Italy	NA	2004	sport_4
athlete_117605	Germany	Bronze	2005	sport_5
athlete_117606	United States	Silver	2006	sport_6
athlete_117607	France	Bronze	2007	sport_7
athlete_117608	France	Silver	2008	sport_8
athlete_117609	Japan	Gold	2009	sport_9
athlete_117610	Italy	NA	2010	sport_10
athlete_117611	Italy	NA	2011	sport_11
athlete_117612	Italy	NA	2012	sport_12
athlete_117613	United States	Silver	2013	sport_13
athlete_117614	United States	Silver	2014	sport_14
athlete_117615	Kenya	NA	2015	sport_15
athlete_117616	Soviet Union	NA	2016	sport_16
athlete_117617	Soviet Union	Bronze	2017	sport_17
athlete_117618	Japan	NA	2018	sport_18
athlete_117619	Japan	NA	2019	sport_19
athlete_117620	France	NA	2000	sport_20
athlete_117621	United States	NA	2001	sport_21
athlete_117622	Germany	Gold	2002	sport_22
athlete_117623	United States	NA	2003	sport_23
athlete_117624	Germany	NA	2004	sport_24
athlete_117625	Italy	Silver	2005	sport_25
athlete_117626	Kenya	Gold	2006	sport_26
athlete_117627	United States	Silver	2007	sport_27
athlete_117628	Germany	NA	2008	sport_28
athlete_117629	Italy	Bronze	2009	sport_29
athlete_117630	Italy	Gold	2010	sport_30
athlete_117631	United States	Gold	2011	sport_31
athlete_117632	Germany	NA	2012	sport_32
athlete_117633	Japan	Silver	2013	sport_33
athlete_117634	France	NA	2014	sport_34
athlete_117635	Soviet Union	NA	2015	sport_35
athlete_117636	Italy	Bronze	2016	sport_36
athlete_117637	Italy	NA	2017	sport_37
athlete_117638	Japan	Silver	2018	sport_38
athlete_117639	United States	NA	2019	sport_39
athlete_117640	United States	NA	2000	sport_0
athlete_117641	Germany	NA	2001	sport_1
athlete_117642	Japan	Gold	2002	sport_2
athlete_117643	United States	Silver	2003	sport_3
athlete_117644	Japan	NA	2004	sport_4
athlete_117645	United States	Gold	2005	sport_5
athlete_117646	Italy	NA	2006	sport_6
athlete_117647	United States	Gold	2007	sport_7
athlete_117648	United States	NA	2008	sport_8
athlete_117649	United States	NA	2009	sport_9
athlete_117650	Italy	Silver	2010	sport_10
athlete_117651	United States	NA	2011	sport_11
athlete_117652	United States	Gold	2012	sport_12
athlete_117653	United States	NA	2013	sport_13
athlete_117654	Japan	NA	2014	sport_14
athlete_117655	United States	NA	2015	sport_15
athlete_117656	France	Gold	2016	sport_16
athlete_117657	Italy	NA	2017	sport_17
athlete_117658	Soviet Union	NA	2018	sport_18
athlete_117659	France	Bronze	2019	sport_19
athlete_117660	United States	Gold	2000	sport_20
athlete_117661	Italy	NA	2001	sport_21
athlete_117662	Kenya	Bronze	2002	sport_22
athlete_117663	France	Bronze	2003	sport_23
athlete_117664	Italy	Silver	2004	sport_24
athlete_117665	France	NA	2005	sport_25
athlete_117666	Kenya	Bronze	2006	sport_26
athlete_117667	United States	NA	2007	sport_27
athlete_117668	United States	NA	2008	sport_28
athlete_117669	United States	Bronze	2009	sport_29
athlete_117670	United States	Gold	2010	sport_30
athlete_117671	France	Gold	2011	sport_31
athlete_117672	France	NA	2012	sport_32
athlete_117673	France	NA	2013	sport_33
athlete_117674	Italy	NA	2014	sport_34
athlete_117675	United States	NA	2015	sport_35
athlete_117676	Italy	NA	2016	sport_36
athlete_117677	France	NA	2017	sport_37
athlete_117678	France	NA	2018	sport_38
athlete_117679	Italy	NA	2019	sport_39
athlete_117680	Germany	NA	2000	sport_0
athlete_117681	Japan	NA	2001	sport_1
athlete_117682	Japan	Silver	2002	sport_2
athlete_117683	Soviet Union	Silver	2003	sport_3
athlete_117684	United States	NA	2004	sport_4
athlete_117685	Germany	Silver	2005	sport_5
athlete_117686	Germany	Silver	2006	sport_6
athlete_117687	Soviet Union	NA	2007	sport_7
athlete_117688	Soviet Union	Silver	2008	sport_8
athlete_117689	Soviet Union	NA	2009	sport_9
athlete_117690	United States	Gold	2010	sport_10
athlete_117691	Germany	Silver	2011	sport_11
athlete_117692	United States	Silver	2012	sport_12
athlete_117693	United States	Silver	2013	sport_13
athlete_117694	Germany	Silver	2014	sport_14
athlete_117695	Soviet Union	Silver	2015	sport_15
athlete_117696	Soviet Union	NA	2016	sport_16
athlete_117697	United States	Gold	2017	sport_17
athlete_117698	Kenya	NA	2018	sport_18
athlete_117699	United States	Gold	2019	sport_19
athlete_117700	France	Gold	2000	sport_20
athlete_117701	United States	NA	2001	sport_21
athlete_117702	Italy	Silver	2002	sport_22
athlete_117703	Germany	NA	2003	sport_23
athlete_117704	Italy	NA	2004	sport_24
athlete_117705	Soviet Union	Silver	2005	sport_25
athlete_117706	United States	Silver	2006	sport_26
athlete_117707	Italy	NA	2007	sport_27
athlete_117708	Italy	NA	2008	sport_28
athlete_117709	France	NA	2009	sport_29
athlete_117710	Germany	Bronze	2010	sport_30
athlete_117711	Italy	Silver	2011	sport_31
athlete_117712	Kenya	Silver	2012	sport_32
athlete_117713	United States	NA	2013	sport_33
athlete_117714	Soviet Union	Bronze	2014	sport_34
athlete_117715	Japan	Bronze	2015	sport_35
athlete_117716	France	NA	2016	sport_36
athlete_117717	United States	Silver	2017	sport_37
athlete_117718	Germany	NA	2018	sport_38
athlete_117719	United States	NA	2019	sport_39
athlete_117720	Japan	Bronze	2000	sport_0
athlete_117721	Italy	NA	2001	sport_1
athlete_117722	United States	Silver	2002	sport_2
athlete_117723	Japan	Gold	2003	sport_3
athlete_117724	United States	Silver	2004	sport_4
athlete_117725	Italy	NA	2005	sport_5
athlete_117726	United States	NA	2006	sport_6
athlete_117727	Italy	Bronze	2007	sport_7
athlete_117728	Kenya	Silver	2008	sport_8
athlete_117729	Japan	Gold	2009	sport_9
athlete_117730	Soviet Union	Bronze	2010	sport_10
athlete_117731	Soviet Union	Gold	2011	sport_11
athlete_117732	Germany	Silver	2012	sport_12
athlete_117733	Germany	Bronze	2013	sport_13
athlete_117734	United States	NA	2014	sport_14
athlete_117735	Italy	Bronze	2015	sport_15
athlete_117736	United States	Bronze	2016	sport_16
athlete_117737	Soviet Union	Gold	2017	sport_17
athlete_117738	Italy	Bronze	2018	sport_18
athlete_117739	Italy	NA	2019	sport_19
athlete_117740	Soviet Union	NA	2000	sport_20
athlete_117741	United States	Silver	2001	sport_21
athlete_117742	Kenya	NA	2002	sport_22
athlete_117743	France	Bronze	2003	sport_23
athlete_117744	United States	Gold	2004	sport_24
athlete_117745	United States	Bronze	2005	sport_25
athlete_117746	United States	Silver	2006	sport_26
athlete_117747	Japan	NA	2007	sport_27
athlete_117748	Italy	Silver	2008	sport_28
athlete_117749	Germany	NA	2009	sport_29
athlete_117750	Germany	Gold	2010	sport_30
athlete_117751	Italy	NA	2011	sport_31
athlete_117752	United States	NA	2012	sport_32
athlete_117753	United States	NA	2013	sport_33
athlete_117754	Germany	Gold	2014	sport_34
athlete_117755	Kenya	Silver	2015	sport_35
athlete_117756	Japan	NA	2016	sport_36
athlete_117757	United States	NA	2017	sport_37
athlete_117758	Kenya	Bronze	2018	sport_38
athlete_117759	Germany	NA	2019	sport_39
athlete_117760	Japan	NA	2000	sport_0
athlete_117761	France	Silver	2001	sport_1
athlete_117762	Italy	Gold	2002	sport_2
athlete_117763	Japan	NA	2003	sport_3
athlete_117764	United States	NA	2004	sport_4
athlete_117765	Soviet Union	Bronze	2005	sport_5
athlete_117766	France	NA	2006	sport_6
athlete_117767	Japan	NA	2007	sport_7
athlete_117768	Germany	Gold	2008	sport_8
athlete_117769	United States	NA	2009	sport_9
athlete_117770	Kenya	NA	2010	sport_10
athlete_117771	Germany	NA	2011	sport_11
athlete_117772	Soviet Union	NA	2012	sport_12
athlete_117773	United States	Bronze	2013	sport_13
athlete_117774	Soviet Union	NA	2014	sport_14
athlete_117775	Japan	NA	2015	sport_15
athlete_117776	Soviet Union	NA	2016	sport_16
athlete_117777	Germany	Silver	2017	sport_17
athlete_117778	Soviet Union	NA	2018	sport_18
athlete_117779	Kenya	NA	2019	sport_19
athlete_117780	Japan	Gold	2000	sport_20
athlete_117781	Germany	NA	2001	sport_21
athlete_117782	Japan	NA	2002	sport_22
athlete_117783	United States	NA	2003	sport_23
athlete_117784	Kenya	Silver	2004	sport_24
athlete_117785	Germany	Bronze	2005	sport_25
athlete_117786	Germany	NA	2006	sport_26
athlete_117787	Japan	NA	2007	sport_27
athlete_117788	Japan	NA	2008	sport_28
athlete_117789	Germany	Bronze	2009	sport_29
athlete_117790	United States	NA	2010	sport_30
athlete_117791	Italy	Bronze	2011	sport_31
athlete_117792	France	NA	2012	sport_32
athlete_117793	Germany	NA	2013	sport_33
athlete_117794	Italy	Silver	2014	sport_34
athlete_117795	United States	Bronze	2015	sport_35
athlete_117796	Germany	Gold	2016	sport_36
athlete_117797	Japan	Silver	2017	sport_37
athlete_117798	Kenya	Gold	2018	sport_38
athlete_117799	Germany	Silver	2019	sport_39
athlete_117800	United States	NA	2000	sport_0
athlete_117801	France	Gold	2001	sport_1
athlete_117802	Soviet Union	NA	2002	sport_2
athlete_117803	France	Bronze	2003	sport_3
athlete_117804	Italy	Gold	2004	sport_4
athlete_117805	United States	NA	2005	sport_5
athlete_117806	United States	Silver	2006	sport_6
athlete_117807	United States	NA	2007	sport_7
athlete_117808	Japan	Silver	2008	sport_8
athlete_117809	Japan	NA	2009	sport_9
athlete_117810	Germany	Bronze	2010	sport_10
athlete_117811	Kenya	NA	2011	sport_11
athlete_117812	Germany	NA	2012	sport_12
athlete_117813	United States	NA	2013	sport_13
athlete_117814	France	Bronze	2014	sport_14
athlete_117815	Kenya	Silver	2015	sport_15
athlete_117816	Italy	Silver	2016	sport_16
athlete_117817	United States	Bronze	2017	sport_17
athlete_117818	Kenya	Gold	2018	sport_18
athlete_117819	Soviet Union	NA	2019	sport_19
athlete_117820	Germany	NA	2000	sport_20
athlete_117821	Japan	Bronze	2001	sport_21
athlete_117822	Kenya	Bronze	2002	sport_22
athlete_117823	Soviet Union	NA	2003	sport_23
athlete_117824	Soviet Union	Bronze	2004	sport_24
athlete_117825	Germany	NA	2005	sport_25
athlete_117826	Kenya	Gold	2006	sport_26
athlete_117827	Soviet Union	NA	2007	sport_27
athlete_117828	United States	Gold	2008	sport_28
athlete_117829	Italy	Gold	2009	sport_29
athlete_117830	United States	Gold	2010	sport_30
athlete_117831	Kenya	NA	2011	sport_31
athlete_117832	United States	Gold	2012	sport_32
athlete_117833	Japan	Gold	2013	sport_33
athlete_117834	France	NA	2014	sport_34
athlete_117835	United States	NA	2015	sport_35
athlete_117836	France	Silver	2016	sport_36
athlete_117837	United States	NA	2017	sport_37
athlete_117838	Italy	NA	2018	sport_38
athlete_117839	United States	NA	2019	sport_39
athlete_117840	Kenya	NA	2000	sport_0
athlete_117841	Italy	NA	2001	sport_1
athlete_117842	Japan	NA	2002	sport_2
athlete_117843	United States	NA	2003	sport_3
athlete_117844	United States	Silver	2004	sport_4
athlete_117845	United States	NA	2005	sport_5
athlete_117846	United States	Silver	2006	sport_6
athlete_117847	France	NA	2007	sport_7
athlete_117848	Germany	Gold	2008	sport_8
athlete_117849	Italy	NA	2009	sport_9
athlete_117850	France	Silver	2010	sport_10
athlete_117851	United States	NA	2011	sport_11
athlete_117852	Kenya	Bronze	2012	sport_12
athlete_117853	France	Silver	2013	sport_13
athlete_117854	France	Bronze	2014	sport_14
athlete_117855	United States	Bronze	2015	sport_15
athlete_117856	United States	NA	2016	sport_16
athlete_117857	United States	Gold	2017	sport_17
athlete_117858	United States	Bronze	2018	sport_18
athlete_117859	United States	NA	2019	sport_19
athlete_117860	United States	Silver	2000	sport_20
athlete_117861	United States	Bronze	2001	sport_21
athlete_117862	United States	Bronze	2002	sport_22
athlete_117863	Germany	Bronze	2003	sport_23
athlete_117864	United States	Bronze	2004	sport_24
athlete_117865	United States	Silver	2005	sport_25
athlete_117866	France	NA	2006	sport_26
athlete_117867	United States	NA	2007	sport_27
athlete_117868	Germany	NA	2008	sport_28
athlete_117869	Japan	NA	2009	sport_29
athlete_117870	Soviet Union	NA	2010	sport_30
athlete_117871	United States	Silver	2011	sport_31
athlete_117872	United States	NA	2012	sport_32
athlete_117873	Japan	Gold	2013	sport_33
athlete_117874	Italy	NA	2014	sport_34
athlete_117875	United States	Silver	2015	sport_35
athlete_117876	United States	Bronze	2016	sport_36
athlete_117877	Soviet Union	Silver	2017	sport_37
athlete_117878	France	NA	2018	sport_38
athlete_117879	United States	Silver	2019	sport_39
athlete_117880	France	NA	2000	sport_0
athlete_117881	Germany	NA	2001	sport_1
athlete_117882	Japan	NA	2002	sport_2
athlete_117883	Italy	NA	2003	sport_3
athlete_117884	Germany	NA	2004	sport_4
athlete_117885	United States	NA	2005	sport_5
athlete_117886	France	NA	2006	sport_6
athlete_117887	United States	NA	2007	sport_7
athlete_117888	United States	Bronze	2008	sport_8
athlete_117889	United States	Bronze	2009	sport_9
athlete_117890	Germany	NA	2010	sport_10
athlete_117891	Germany	Silver	2011	sport_11
athlete_117892	France	NA	2012	sport_12
athlete_117893	Kenya	Gold	2013	sport_13
athlete_117894	Japan	Gold	2014	sport_14
athlete_117895	France	Silver	2015	sport_15
athlete_117896	Italy	Bronze	2016	sport_16
athlete_117897	United States	Gold	2017	sport_17
athlete_117898	United States	NA	2018	sport_18
athlete_117899	United States	Silver	2019	sport_19
athlete_117900	Japan	NA	2000	sport_20
athlete_117901	Italy	NA	2001	sport_21
athlete_117902	France	NA	2002	sport_22
athlete_117903	France	Gold	2003	sport_23
athlete_117904	United States	Bronze	2004	sport_24
athlete_117905	United States	NA	2005	sport_25
athlete_117906	France	NA	2006	sport_26
athlete_117907	United States	Silver	2007	sport_27
athlete_117908	Germany	Gold	2008	sport_28
athlete_117909	Japan	NA	2009	sport_29
athlete_117910	France	NA	2010	sport_30
athlete_117911	Japan	Bronze	2011	sport_31
athlete_117912	Soviet Union	Bronze	2012	sport_32
athlete_117913	Germany	NA	2013	sport_33
athlete_117914	Germany	Gold	2014	sport_34
athlete_117915	United States	NA	2015	sport_35
athlete_117916	United States	Bronze	2016	sport_36
athlete_117917	United States	NA	2017	sport_37
athlete_117918	Italy	Gold	2018	sport_38
athlete_117919	Germany	Gold	2019	sport_39
athlete_117920	Germany	Bronze	2000	sport_0
athlete_117921	France	Silver	2001	sport_1
athlete_117922	United States	NA	2002	sport_2
athlete_117923	Soviet Union	Gold	2003	sport_3
athlete_117924	United States	NA	2004	sport_4
athlete_117925	United States	NA	2005	sport_5
athlete_117926	France	Bronze	2006	sport_6
athlete_117927	Italy	NA	2007	sport_7
athlete_117928	France	Silver	2008	sport_8
athlete_117929	United States	Bronze	2009	sport_9
athlete_117930	United States	Bronze	2010	sport_10
athlete_117931	United States	NA	2011	sport_11
athlete_117932	Germany	Silver	2012	sport_12
athlete_117933	United States	NA	2013	sport_13
athlete_117934	Germany	NA	2014	sport_14
athlete_117935	United States	NA	2015	sport_15
athlete_117936	Japan	NA	2016	sport_16
athlete_117937	Soviet Union	NA	2017	sport_17
athlete_117938	Japan	Silver	2018	sport_18
athlete_117939	Kenya	NA	2019	sport_19
athlete_117940	Germany	NA	2000	sport_20
athlete_117941	Germany	Bronze	2001	sport_21
athlete_117942	Kenya	NA	2002	sport_22
athlete_117943	Italy	NA	2003	sport_23
athlete_117944	United States	Silver	2004	sport_24
athlete_117945	Soviet Union	Gold	2005	sport_25
athlete_117946	France	Silver	2006	sport_26
athlete_117947	United States	Silver	2007	sport_27
athlete_117948	United States	NA	2008	sport_28
athlete_117949	Germany	NA	2009	sport_29
athlete_117950	Italy	NA	2010	sport_30
athlete_117951	France	Gold	2011	sport_31
athlete_117952	France	NA	2012	sport_32
athlete_117953	Germany	NA	2013	sport_33
athlete_117954	United States	NA	2014	sport_34
athlete_117955	France	Silver	2015	sport_35
athlete_117956	Italy	NA	2016	sport_36
athlete_117957	United States	Bronze	2017	sport_37
athlete_117958	Germany	NA	2018	sport_38
athlete_117959	Japan	Bronze	2019	sport_39
athlete_117960	France	NA	2000	sport_0
athlete_117961	United States	NA	2001	sport_1
athlete_117962	United States	NA	2002	sport_2
athlete_117963	France	Bronze	2003	sport_3
athlete_117964	Japan	NA	2004	sport_4
athlete_117965	United States	Bronze	2005	sport_5
athlete_117966	United States	NA	2006	sport_6
athlete_117967	Soviet Union	NA	2007	sport_7
athlete_117968	Italy	NA	2008	sport_8
athlete_117969	France	NA	2009	sport_9
athlete_117970	United States	NA	2010	sport_10
athlete_117971	Germany	NA	2011	sport_11
athlete_117972	France	NA	2012	sport_12
athlete_117973	United States	Silver	2013	sport_13
athlete_117974	United States	NA	2014	sport_14
athlete_117975	Italy	Bronze	2015	sport_15
athlete_117976	Germany	NA	2016	sport_16
athlete_117977	Japan	NA	2017	sport_17
athlete_117978	France	NA	2018	sport_18
athlete_117979	France	NA	2019	sport_19
athlete_117980	United States	Bronze	2000	sport_20
athlete_117981	France	Bronze	2001	sport_21
athlete_117982	United States	Silver	2002	sport_22
athlete_117983	Germany	NA	2003	sport_23
athlete_117984	Germany	NA	2004	sport_24
athlete_117985	Italy	Bronze	2005	sport_25
athlete_117986	Soviet Union	NA	2006	sport_26
athlete_117987	Germany	Gold	2007	sport_27
athlete_117988	United States	NA	2008	sport_28
athlete_117989	Japan	Gold	2009	sport_29
athlete_117990	Germany	Bronze	2010	sport_30
athlete_117991	Kenya	NA	2011	sport_31
athlete_117992	Japan	NA	2012	sport_32
athlete_117993	Germany	NA	2013	sport_33
athlete_117994	Italy	NA	2014	sport_34
athlete_117995	United States	Bronze	2015	sport_35
athlete_117996	Kenya	NA	2016	sport_36
athlete_117997	France	Silver	2017	sport_37
athlete_117998	Germany	NA	2018	sport_38
athlete_117999	United States	Bronze	2019	sport_39
athlete_118000	United States	Gold	2000	sport_0
athlete_118001	Soviet Union	NA	2001	sport_1
athlete_118002	Germany	NA	2002	sport_2
athlete_118003	Italy	Silver	2003	sport_3
athlete_118004	Germany	NA	2004	sport_4
athlete_118005	Kenya	Bronze	2005	sport_5
athlete_118006	France	Silver	2006	sport_6
athlete_118007	United States	Silver	2007	sport_7
athlete_118008	Italy	Gold	2008	sport_8
athlete_118009	Italy	Bronze	2009	sport_9
athlete_118010	United States	Gold	2010	sport_10
athlete_118011	United States	Silver	2011	sport_11
athlete_118012	Germany	Silver	2012	sport_12
athlete_118013	Germany	Silver	2013	sport_13
athlete_118014	Germany	NA	2014	sport_14
athlete_118015	Japan	Gold	2015	sport_15
athlete_118016	Japan	Gold	2016	sport_16
athlete_118017	Kenya	Silver	2017	sport_17
athlete_118018	United States	NA	2018	sport_18
athlete_118019	United States	Gold	2019	sport_19
athlete_118020	United States	NA	2000	sport_20
athlete_118021	United States	NA	2001	sport_21
athlete_118022	United States	NA	2002	sport_22
athlete_118023	Italy	Silver	2003	sport_23
athlete_118024	France	NA	2004	sport_24
athlete_118025	Japan	Gold	2005	sport_25
athlete_118026	Soviet Union	NA	2006	sport_26
athlete_118027	France	NA	2007	sport_27
athlete_118028	France	Silver	2008	sport_28
athlete_118029	Kenya	Silver	2009	sport_29
athlete_118030	Italy	Gold	2010	sport_30
athlete_118031	Italy	NA	2011	sport_31
athlete_118032	Japan	NA	2012	sport_32
athlete_118033	France	Bronze	2013	sport_33
athlete_118034	Germany	NA	2014	sport_34
athlete_118035	United States	NA	2015	sport_35
athlete_118036	United States	NA	2016	sport_36
athlete_118037	United States	Bronze	2017	sport_37
athlete_118038	France	NA	2018	sport_38
athlete_118039	France	NA	2019	sport_39
athlete_118040	United States	NA	2000	sport_0
athlete_118041	United States	Silver	2001	sport_1
athlete_118042	United States	Silver	2002	sport_2
athlete_118043	United States	Gold	2003	sport_3
athlete_118044	Germany	Bronze	2004	sport_4
athlete_118045	United States	NA	2005	sport_5
athlete_118046	Germany	Gold	2006	sport_6
athlete_118047	Germany	Gold	2007	sport_7
athlete_118048	Japan	NA	2008	sport_8
athlete_118049	Japan	NA	2009	sport_9
athlete_118050	United States	Bronze	2010	sport_10
athlete_118051	United States	Gold	2011	sport_11
athlete_118052	United States	Bronze	2012	sport_12
athlete_118053	Italy	Silver	2013	sport_13
athlete_118054	Soviet Union	NA	2014	sport_14
athlete_118055	United States	NA	2015	sport_15
athlete_118056	United States	Silver	2016	sport_16
athlete_118057	Japan	Gold	2017	sport_17
athlete_118058	Italy	NA	2018	sport_18
athlete_118059	Germany	Bronze	2019	sport_19
athlete_118060	Italy	NA	2000	sport_20
athlete_118061	United States	Gold	2001	sport_21
athlete_118062	France	Gold	2002	sport_22
athlete_118063	United States	Silver	2003	sport_23
athlete_118064	Kenya	NA	2004	sport_24
athlete_118065	United States	NA	2005	sport_25
athlete_118066	United States	NA	2006	sport_26
athlete_118067	Italy	NA	2007	sport_27
athlete_118068	United States	NA	2008	sport_28
athlete_118069	Soviet Union	Gold	2009	sport_29
athlete_118070	Japan	Gold	2010	sport_30
athlete_118071	Germany	NA	2011	sport_31
athlete_118072	France	Gold	2012	sport_32
athlete_118073	France	Silver	2013	sport_33
athlete_118074	United States	Silver	2014	sport_34
athlete_118075	France	Silver	2015	sport_35
athlete_118076	France	Bronze	2016	sport_36
athlete_118077	France	Silver	2017	sport_37
athlete_118078	Kenya	NA	2018	sport_38
athlete_118079	Kenya	Bronze	2019	sport_39
athlete_118080	Japan	NA	2000	sport_0
athlete_118081	Soviet Union	Silver	2001	sport_1
athlete_118082	Italy	Gold	2002	sport_2
athlete_118083	Germany	NA	2003	sport_3
athlete_118084	United States	NA	2004	sport_4
athlete_118085	Italy	Bronze	2005	sport_5
athlete_118086	Italy	NA	2006	sport_6
athlete_118087	Soviet Union	NA	2007	sport_7
athlete_118088	Germany	NA	2008	sport_8
athlete_118089	Germany	Gold	2009	sport_9
athlete_118090	Germany	NA	2010	sport_10
athlete_118091	United States	NA	2011	sport_11
athlete_118092	France	NA	2012	sport_12
athlete_118093	Germany	NA	2013	sport_13
athlete_118094	United States	NA	2014	sport_14
athlete_118095	Germany	Gold	2015	sport_15
athlete_118096	United States	Gold	2016	sport_16
athlete_118097	Soviet Union	NA	2017	sport_17
athlete_118098	United States	Silver	2018	sport_18
athlete_118099	Kenya	NA	2019	sport_19
athlete_118100	Germany	Bronze	2000	sport_20
athlete_118101	Kenya	Silver	2001	sport_21
athlete_118102	Kenya	NA	2002	sport_22
athlete_118103	Germany	NA	2003	sport_23
athlete_118104	Japan	Bronze	2004	sport_24
athlete_118105	Kenya	NA	2005	sport_25
